price,quantity,type,timestamp
10118000,0.528,0,2018-05-01 00:00:00.491007
10115000,0.1018,0,2018-05-01 00:00:00.491007
10110000,0.1648,0,2018-05-01 00:00:00.491007
10109000,0.2331,0,2018-05-01 00:00:00.491007
10102000,1,0,2018-05-01 00:00:00.491007
10101000,8,0,2018-05-01 00:00:00.491007
10100000,0.322,0,2018-05-01 00:00:00.491007
10098000,0.1645,0,2018-05-01 00:00:00.491007
10094000,0.0335,0,2018-05-01 00:00:00.491007
10092000,0.1,0,2018-05-01 00:00:00.491007
10091000,0.0699,0,2018-05-01 00:00:00.491007
10086000,0.9911,0,2018-05-01 00:00:00.491007
10085000,0.816,0,2018-05-01 00:00:00.491007
10083000,0.1194,0,2018-05-01 00:00:00.491007
10082000,0.3807,0,2018-05-01 00:00:00.491007
10120000,0.016,1,2018-05-01 00:00:00.491007
10128000,0.4525,1,2018-05-01 00:00:00.491007
10129000,0.384,1,2018-05-01 00:00:00.491007
10130000,0.0011,1,2018-05-01 00:00:00.491007
10133000,1.04,1,2018-05-01 00:00:00.491007
10137000,0.6674,1,2018-05-01 00:00:00.491007
10138000,0.052,1,2018-05-01 00:00:00.491007
10139000,1.51777557,1,2018-05-01 00:00:00.491007
10140000,0.67156629,1,2018-05-01 00:00:00.491007
10143000,0.1669,1,2018-05-01 00:00:00.491007
10144000,1.3543,1,2018-05-01 00:00:00.491007
10145000,2.4118,1,2018-05-01 00:00:00.491007
10148000,0.1069,1,2018-05-01 00:00:00.491007
10149000,2.8576,1,2018-05-01 00:00:00.491007
10150000,0.7716,1,2018-05-01 00:00:00.491007
10118000,0.528,0,2018-05-01 00:00:01.491007
10115000,0.1018,0,2018-05-01 00:00:01.491007
10110000,0.1648,0,2018-05-01 00:00:01.491007
10109000,0.2331,0,2018-05-01 00:00:01.491007
10102000,1,0,2018-05-01 00:00:01.491007
10101000,8,0,2018-05-01 00:00:01.491007
10100000,0.322,0,2018-05-01 00:00:01.491007
10098000,0.1645,0,2018-05-01 00:00:01.491007
10094000,0.0335,0,2018-05-01 00:00:01.491007
10092000,0.1,0,2018-05-01 00:00:01.491007
10091000,0.0699,0,2018-05-01 00:00:01.491007
10086000,0.9911,0,2018-05-01 00:00:01.491007
10085000,0.816,0,2018-05-01 00:00:01.491007
10083000,0.1194,0,2018-05-01 00:00:01.491007
10082000,0.3807,0,2018-05-01 00:00:01.491007
10120000,0.016,1,2018-05-01 00:00:01.491007
10128000,0.4525,1,2018-05-01 00:00:01.491007
10129000,0.384,1,2018-05-01 00:00:01.491007
10130000,0.0011,1,2018-05-01 00:00:01.491007
10133000,1.04,1,2018-05-01 00:00:01.491007
10137000,0.6674,1,2018-05-01 00:00:01.491007
10138000,0.052,1,2018-05-01 00:00:01.491007
10139000,1.51777557,1,2018-05-01 00:00:01.491007
10140000,0.67156629,1,2018-05-01 00:00:01.491007
10143000,0.1669,1,2018-05-01 00:00:01.491007
10144000,1.3543,1,2018-05-01 00:00:01.491007
10145000,2.4118,1,2018-05-01 00:00:01.491007
10148000,0.1069,1,2018-05-01 00:00:01.491007
10149000,2.8576,1,2018-05-01 00:00:01.491007
10150000,0.7716,1,2018-05-01 00:00:01.491007