,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2018-05-01,2515,6042513,1464,4663792933,1051,-4657750420
2018-05-02,2518,17824723,1403,5281670007,1115,-5263845284
2018-05-03,2087,-18331683,1198,3733217322,889,-3751549005
2018-05-04,2237,24516876,1372,3404108400,865,-3379591524
2018-05-05,2112,2996196,1211,3905750200,901,-3902754004
2018-05-06,1893,924196,1118,3374611564,775,-3373687368
2018-05-07,958,-129966,534,1684919265,424,-1685049231
2018-05-08,0,0,0,0,0,0
2018-05-09,0,0,0,0,0,0
2018-05-10,0,0,0,0,0,0
2018-05-11,0,0,0,0,0,0
2018-05-12,0,0,0,0,0,0
2018-05-13,0,0,0,0,0,0
2018-05-14,0,0,0,0,0,0
2018-05-15,0,0,0,0,0,0
2018-05-16,0,0,0,0,0,0
2018-05-17,230,29808,138,353480326,92,-353450518
2018-05-18,374,-246777,224,568656594,150,-568903371
2018-05-19,215,676554,121,387517199,94,-386840645
2018-05-20,331,342342,186,477142094,145,-476799752
2018-05-21,297,339414,182,492366041,115,-492026627
2018-05-22,175,44681,91,194492632,84,-194447951
2018-05-23,173,183487,106,285438950,67,-285255463
2018-05-24,630,1178738,345,938819041,285,-937640303
2018-05-25,1216,1708284,709,1829041520,507,-1827333236
2018-05-26,708,163130,386,940614303,322,-940451173
2018-05-27,437,-8518689,231,646683861,206,-655202550
2018-05-28,522,9286676,285,812523583,237,-803236907
2018-05-29,754,576344,433,1002070045,321,-1001493701
2018-05-30,789,190771,406,1171872659,383,-1171681888
2018-05-31,545,-15574272,314,631185901,231,-646760173
