,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2018-06-01,377,16189787,228,535232465,149,-519042678
2018-06-02,712,-5246691,375,1197523304,337,-1202769995
2018-06-03,1562,-9699750,870,2829808923,692,-2839508673
2018-06-04,539,15277091,311,792233155,228,-776956064
2018-06-05,0,0,0,0,0,0
2018-06-06,0,0,0,0,0,0
2018-06-07,0,0,0,0,0,0
2018-06-08,0,0,0,0,0,0
2018-06-09,0,0,0,0,0,0
2018-06-10,0,0,0,0,0,0
2018-06-11,0,0,0,0,0,0
2018-06-12,0,0,0,0,0,0
2018-06-13,0,0,0,0,0,0
2018-06-14,0,0,0,0,0,0
2018-06-15,0,0,0,0,0,0
2018-06-16,0,0,0,0,0,0
2018-06-17,0,0,0,0,0,0
2018-06-18,0,0,0,0,0,0
2018-06-19,0,0,0,0,0,0
2018-06-20,0,0,0,0,0,0
2018-06-21,0,0,0,0,0,0
2018-06-22,105,-6326132,66,89794011,39,-96120143
2018-06-23,189,3132963,114,143794666,75,-140661703
2018-06-24,175,2606943,101,99725688,74,-97118745
2018-06-25,253,-8987456,156,240890392,97,-249877848
2018-06-26,95,9192209,71,51473709,24,-42281500
2018-06-27,9,5633,6,2313742,3,-2308109
2018-06-28,0,0,0,0,0,0
2018-06-29,0,0,0,0,0,0
2018-06-30,0,0,0,0,0,0
