timestamp_day,Date transaction,Date sell-buy,Date sell transaction,Date sell,Date buy transaction,Date buy,Date total sell,Date absolute total buy
1,174,-14585370,89,158823921,85,-173409291,332233212,173409291
2,356,15168016,194,441072493,162,-425904477,866976970,425904477
3,736,167826,413,877967396,323,-877799570,1755766966,877799570
4,689,-18993006,380,695114238,309,-714107244,1409221482,714107244
5,488,19456952,273,480702139,215,-461245187,941947326,461245187
6,573,-21771154,315,517981794,258,-539752948,1057734742,539752948
7,521,6844664,281,561599793,240,-554755129,1116354922,554755129
8,447,15315231,229,720593542,218,-705278311,1425871853,705278311
9,766,-12685945,467,1163342270,299,-1176028215,2339370485,1176028215
10,812,-9070107,431,1103232833,381,-1112302940,2215535773,1112302940
11,763,18322011,442,881842972,321,-863520961,1745363933,863520961
12,517,-16529390,280,766445183,237,-782974573,1549419756,782974573
13,741,108019,433,813886806,308,-813778787,1627665593,813778787
14,492,-2453009,307,544509212,185,-546962221,1091471433,546962221
15,595,4226376,295,681902774,300,-677676398,1359579172,677676398
16,794,14644517,416,1211141745,378,-1196497228,2407638973,1196497228
17,3,2328518,2,2431170,1,-102652,2533822,102652
