timestamp_hour,Hourly transaction,Hourly sell-buy,Hourly sell transaction,Hourly sell,Hourly buy transaction,Hourly buy,Hourly total sell,Hourly absolute total buy
0,1431,-70575901,893,2654669224,538,-2725245125,5379914349,2725245125
1,1435,-26638081,857,2679368489,578,-2706006570,5385375059,2706006570
2,1362,29648069,810,2314496530,552,-2284848461,4599344991,2284848461
3,1007,-38468287,597,1533485342,410,-1571953629,3105438971,1571953629
4,909,-88938305,591,1656985150,318,-1745923455,3402908605,1745923455
5,998,96938743,662,1738766944,336,-1641828201,3380595145,1641828201
6,1181,42476509,740,1911620533,441,-1869144024,3780764557,1869144024
7,1395,-17207259,851,2525272340,544,-2542479599,5067751939,2542479599
8,1492,-2657156,935,2661451298,557,-2664108454,5325559752,2664108454
9,1655,-58073586,982,3223896983,673,-3281970569,6505867552,3281970569
10,1558,2471990,1008,3000501137,550,-2998029147,5998530284,2998029147
11,1657,128216711,1086,3033178349,571,-2904961638,5938139987,2904961638
12,1358,-43115712,815,2714442429,543,-2757558141,5472000570,2757558141
13,1386,78110294,869,2784250354,517,-2706140060,5490390414,2706140060
14,1365,-103705102,832,2573148668,533,-2676853770,5250002438,2676853770
15,1414,-19624119,882,2583444000,532,-2603068119,5186512119,2603068119
16,1396,40651264,867,2523010687,529,-2482359423,5005370110,2482359423
17,1421,-13008849,860,2504644337,561,-2517653186,5022297523,2517653186
18,1447,10949286,885,2799077517,562,-2788128231,5587205748,2788128231
19,1404,57796174,833,2535030252,571,-2477234078,5012264330,2477234078
20,1433,-13390304,917,2713066233,516,-2726456537,5439522770,2726456537
21,1440,-41617311,873,2616110809,567,-2657728120,5273838929,2657728120
22,1575,79154157,944,2802532780,631,-2723378623,5525911403,2723378623
23,1430,-17256723,864,2587265214,566,-2604521937,5191787151,2604521937
