timestamp_minute,Minute transaction,Minute sell-buy,Minute sell transaction,Minute sell,Minute buy transaction,Minute buy,Minute total sell,Minute absolute total buy
0,419,-172429561,243,601681236,176,-774110797,1375792033,774110797
1,448,165373144,284,660555207,164,-495182063,1155737270,495182063
2,412,64186205,260,576631157,152,-512444952,1089076109,512444952
3,431,-51859397,257,644342786,174,-696202183,1340544969,696202183
4,384,231142099,259,636255083,125,-405112984,1041368067,405112984
5,382,-29490905,246,649170698,136,-678661603,1327832301,678661603
6,433,18235518,314,739875105,119,-721639587,1461514692,721639587
7,481,4959509,285,617042767,196,-612083258,1229126025,612083258
8,350,114979418,234,625895509,116,-510916091,1136811600,510916091
9,439,-349335976,258,489506153,181,-838842129,1328348282,838842129
10,421,-37494279,238,664073700,183,-701567979,1365641679,701567979
11,464,-154117809,287,621355478,177,-775473287,1396828765,775473287
12,354,-162214339,234,559552329,120,-721766668,1281318997,721766668
13,352,-114523838,232,514596484,120,-629120322,1143716806,629120322
14,391,322143044,288,734254714,103,-412111670,1146366384,412111670
15,362,-82612603,206,651733505,156,-734346108,1386079613,734346108
16,356,-223963486,232,519263166,124,-743226652,1262489818,743226652
17,387,248217212,272,713956086,115,-465738874,1179694960,465738874
18,390,336466725,269,772643982,121,-436177257,1208821239,436177257
19,365,-178722557,217,493537230,148,-672259787,1165797017,672259787
20,404,311197402,256,681982031,148,-370784629,1052766660,370784629
21,411,98023826,294,588834962,117,-490811136,1079646098,490811136
22,411,-303623024,225,604953320,186,-908576344,1513529664,908576344
23,369,27667010,214,470669435,155,-443002425,913671860,443002425
24,360,-131978963,228,538705309,132,-670684272,1209389581,670684272
25,413,67362683,260,676772187,153,-609409504,1286181691,609409504
26,361,-108263154,218,521953835,143,-630216989,1152170824,630216989
27,399,-188596452,230,677625732,169,-866222184,1543847916,866222184
28,405,-66032155,248,524276924,157,-590309079,1114586003,590309079
29,398,147258483,260,634905384,138,-487646901,1122552285,487646901
30,413,-285716561,233,498978360,180,-784694921,1283673281,784694921
31,386,183307787,273,688875019,113,-505567232,1194442251,505567232
32,331,-166484117,222,519094398,109,-685578515,1204672913,685578515
33,387,-84316187,259,514974206,128,-599290393,1114264599,599290393
34,382,58363259,234,579133774,148,-520770515,1099904289,520770515
35,363,82853373,251,574137181,112,-491283808,1065420989,491283808
36,426,-16321483,263,578279442,163,-594600925,1172880367,594600925
37,428,50297897,299,759290820,129,-708992923,1468283743,708992923
38,382,15501945,239,801165382,143,-785663437,1586828819,785663437
39,343,-76056406,220,523765407,123,-599821813,1123587220,599821813
40,346,178111010,229,594282455,117,-416171445,1010453900,416171445
41,408,66964111,283,687847211,125,-620883100,1308730311,620883100
42,376,1899463,253,659048651,123,-657149188,1316197839,657149188
43,324,135261385,228,483865137,96,-348603752,832468889,348603752
44,367,47545115,225,726652013,142,-679106898,1405758911,679106898
45,409,-102069779,259,632824876,150,-734894655,1367719531,734894655
46,397,-35136691,255,628903097,142,-664039788,1292942885,664039788
47,380,-100693444,240,634843555,140,-735536999,1370380554,735536999
48,409,105213993,250,669827229,159,-564613236,1234440465,564613236
49,363,159886129,235,608588620,128,-448702491,1057291111,448702491
50,351,39211125,228,652317439,123,-613106314,1265423753,613106314
51,409,19880771,257,681338496,152,-661457725,1342796221,661457725
52,392,14377508,236,511455695,156,-497078187,1008533882,497078187
53,379,-188252394,226,452585150,153,-640837544,1093422694,640837544
54,355,16982999,250,458475819,105,-441492820,899968639,441492820
55,365,94829805,222,694101045,143,-599271240,1293372285,599271240
56,365,-56139346,251,606986993,114,-663126339,1270113332,663126339
57,339,60192819,224,521144301,115,-460951482,982095783,460951482
58,372,-7894362,232,627502573,140,-635396935,1262899508,635396935
59,396,-1554198,244,657390678,152,-658944876,1316335554,658944876
