timestamp_minute,Minute transaction,Minute sell-buy,Minute sell transaction,Minute sell,Minute buy transaction,Minute buy,Minute total sell,Minute absolute total buy
0,12,-56255,4,58575,8,-114830,173405,114830
1,15,-75377,5,65860,10,-141237,207097,141237
2,5,43805,4,57107,1,-13302,70409,13302
3,17,-18577,8,111805,9,-130382,242187,130382
4,11,89048,8,129450,3,-40402,169852,40402
5,15,67830,10,143395,5,-75565,218960,75565
6,16,46844,10,137444,6,-90600,228044,90600
7,17,-14376,8,110655,9,-125031,235686,125031
8,12,-48688,5,56312,7,-105000,161312,105000
9,15,-69029,5,75368,10,-144397,219765,144397
10,18,1580,9,130853,9,-129273,260126,129273
11,10,76519,7,119468,3,-42949,162417,42949
12,19,-24074,9,123975,10,-148049,272024,148049
13,18,33322,10,145261,8,-111939,257200,111939
14,11,38111,7,97011,4,-58900,155911,58900
15,18,-22753,8,123198,10,-145951,269149,145951
16,21,-10057,10,146779,11,-156836,303615,156836
17,14,238,7,99557,7,-99319,198876,99319
18,12,-8785,6,83686,6,-92471,176157,92471
19,11,-51893,4,47860,7,-99753,147613,99753
20,14,-1392263,9,135499,5,-1527762,1663261,1527762
21,18,13276,9,138884,9,-125608,264492,125608
22,10,12717,6,76495,4,-63778,140273,63778
23,19,1091660,11,1199995,8,-108335,1308330,108335
24,19,-26097,9,124918,10,-151015,275933,151015
25,10,-31848,4,53839,6,-85687,139526,85687
26,15,-8369,7,103346,8,-111715,215061,111715
27,12,24079,7,100563,5,-76484,177047,76484
28,10,-3003,5,69342,5,-72345,141687,72345
29,11,-34700,4,62212,7,-96912,159124,96912
30,14,-53498,5,75808,9,-129306,205114,129306
31,10,21926,6,84757,4,-62831,147588,62831
32,15,28289,8,129618,7,-101329,230947,101329
33,10,29348,6,82248,4,-52900,135148,52900
34,13,-23640,5,75842,8,-99482,175324,99482
35,10,658,5,71720,5,-71062,142782,71062
36,12,25832,7,95701,5,-69869,165570,69869
37,11,-11387,5,70275,6,-81662,151937,81662
38,14,40563,8,126106,6,-85543,211649,85543
39,14,11495,7,111381,7,-99886,211267,99886
40,16,-6380,8,111773,8,-118153,229926,118153
41,10,-87775,2,28824,8,-116599,145423,116599
42,16,22905,9,127485,7,-104580,232065,104580
43,12,-5119,6,81028,6,-86147,167175,86147
44,14,3264557,5,3388831,9,-124274,3513105,124274
45,11,40831,7,98465,4,-57634,156099,57634
46,16,53279,10,147007,6,-93728,240735,93728
47,19,102159,12,188634,7,-86475,275109,86475
48,13,-70635,4,59296,9,-129931,189227,129931
49,14,-21198,7,87387,7,-108585,195972,108585
50,15,41166,9,126658,6,-85492,212150,85492
51,17,-17803,8,112693,9,-130496,243189,130496
52,9,-10248,4,59918,5,-70166,130084,70166
53,14,-27304,6,84964,8,-112268,197232,112268
54,11,-91966,2,33119,9,-125085,158204,125085
55,11,-70081,3,43226,8,-113307,156533,113307
56,15,51101,9,131845,6,-80744,212589,80744
57,16,-1376,8,116922,8,-118298,235220,118298
58,10,43296,6,87312,4,-44016,131328,44016
59,16,-37328,7,92343,9,-129671,222014,129671
