timestamp_minute,Minute transaction,Minute sell-buy,Minute sell transaction,Minute sell,Minute buy transaction,Minute buy,Minute total sell,Minute absolute total buy
0,626,150997882,378,1063152815,248,-912154933,1975307748,912154933
1,480,-26787129,303,800655590,177,-827442719,1628098309,827442719
2,532,88439878,305,924932195,227,-836492317,1761424512,836492317
3,488,214467915,323,881650830,165,-667182915,1548833745,667182915
4,447,-18155899,260,719823257,187,-737979156,1457802413,737979156
5,428,-110333635,254,625670584,174,-736004219,1361674803,736004219
6,463,-243135184,267,736433563,196,-979568747,1716002310,979568747
7,480,207018323,320,848748591,160,-641730268,1490478859,641730268
8,537,67769838,334,965706926,203,-897937088,1863644014,897937088
9,457,117661349,271,901430590,186,-783769241,1685199831,783769241
10,440,-61254585,244,792058945,196,-853313530,1645372475,853313530
11,450,8789631,291,751615684,159,-742826053,1494441737,742826053
12,461,-174335005,276,740224239,185,-914559244,1654783483,914559244
13,451,34865831,274,824980349,177,-790114518,1615094867,790114518
14,381,30170159,225,697562162,156,-667392003,1364954165,667392003
15,472,-40916159,294,737400061,178,-778316220,1515716281,778316220
16,433,90880986,253,749939045,180,-659058059,1408997104,659058059
17,495,30753937,311,847912957,184,-817159020,1665071977,817159020
18,472,-337510080,268,631479728,204,-968989808,1600469536,968989808
19,373,23065562,216,725264697,157,-702199135,1427463832,702199135
20,484,-176086419,279,729064443,205,-905150862,1634215305,905150862
21,511,32986251,278,836156048,233,-803169797,1639325845,803169797
22,494,210692826,317,976003981,177,-765311155,1741315136,765311155
23,497,111970292,306,755564777,191,-643594485,1399159262,643594485
24,447,20349531,247,771295423,200,-750945892,1522241315,750945892
25,495,-114109825,256,710138210,239,-824248035,1534386245,824248035
26,442,116580031,283,777697147,159,-661117116,1438814263,661117116
27,427,-86116923,269,700714561,158,-786831484,1487546045,786831484
28,423,18181520,226,775224137,197,-757042617,1532266754,757042617
29,457,-200669726,266,567706181,191,-768375907,1336082088,768375907
30,447,46589589,257,818717319,190,-772127730,1590845049,772127730
31,451,112661535,286,716090914,165,-603429379,1319520293,603429379
32,438,-63943533,251,623246479,187,-687190012,1310436491,687190012
33,425,-102362239,252,638853816,173,-741216055,1380069871,741216055
34,384,95948372,243,677371182,141,-581422810,1258793992,581422810
35,468,174303878,281,844392806,187,-670088928,1514481734,670088928
36,516,-23358461,294,707432270,222,-730790731,1438223001,730790731
37,503,45969943,294,856173176,209,-810203233,1666376409,810203233
38,474,122999326,287,825380489,187,-702381163,1527761652,702381163
39,426,191536708,253,679132493,173,-487595785,1166728278,487595785
40,424,-141628591,210,581691833,214,-723320424,1305012257,723320424
41,426,-154904227,202,694815423,224,-849719650,1544535073,849719650
42,479,-76384123,247,740246971,232,-816631094,1556878065,816631094
43,511,54282244,260,764407654,251,-710125410,1474533064,710125410
44,418,-100288817,222,621381834,196,-721670651,1343052485,721670651
45,500,201436992,285,951586863,215,-750149871,1701736734,750149871
46,491,4353753,283,785658869,208,-781305116,1566963985,781305116
47,433,-28029065,237,754495984,196,-782525049,1537021033,782525049
48,439,-9991125,240,718871722,199,-728862847,1447734569,728862847
49,393,-180711928,199,622271990,194,-802983918,1425255908,802983918
50,499,72249158,287,846348998,212,-774099840,1620448838,774099840
51,433,207198089,269,779290723,164,-572092634,1351383357,572092634
52,483,-169654682,259,614591044,224,-784245726,1398836770,784245726
53,508,232853568,331,966265969,177,-733412401,1699678370,733412401
54,447,-169342600,253,554182713,194,-723525313,1277708026,723525313
55,431,-57822604,264,625829866,167,-683652470,1309482336,683652470
56,457,29307943,278,796473605,179,-767165662,1563639267,767165662
57,525,-112563290,299,792756150,226,-905319440,1698075590,905319440
58,429,-102248419,235,728293203,194,-830541622,1558834825,830541622
59,489,-59012527,286,743100151,203,-802112678,1545212829,802112678
