timestamp_minute,Minute transaction,Minute sell-buy,Minute sell transaction,Minute sell,Minute buy transaction,Minute buy,Minute total sell,Minute absolute total buy
0,143,-58200315,69,131196060,74,-189396375,320592435,189396375
1,139,47274364,78,170119307,61,-122844943,292964250,122844943
2,155,18404316,76,191434333,79,-173030017,364464350,173030017
3,151,-144383259,57,102497046,94,-246880305,349377351,246880305
4,139,-59561430,82,184917489,57,-244478919,429396408,244478919
5,152,-5126390,85,217182280,67,-222308670,439490950,222308670
6,149,97673734,75,232159154,74,-134485420,366644574,134485420
7,140,-12521751,64,142584852,76,-155106603,297691455,155106603
8,153,-13617398,80,177944799,73,-191562197,369506996,191562197
9,150,88504725,103,204157543,47,-115652818,319810361,115652818
10,157,35516340,89,177613650,68,-142097310,319710960,142097310
11,182,30272765,99,270008180,83,-239735415,509743595,239735415
12,169,29895272,104,233706830,65,-203811558,437518388,203811558
13,145,-95695683,70,167542710,75,-263238393,430781103,263238393
14,134,-28286867,65,201617688,69,-229904555,431522243,229904555
15,179,-48656368,104,199718048,75,-248374416,448092464,248374416
16,141,105187348,94,189715456,47,-84528108,274243564,84528108
17,143,31000765,83,158353139,60,-127352374,285705513,127352374
18,159,20140414,88,165669378,71,-145528964,311198342,145528964
19,142,69210181,89,202285156,53,-133074975,335360131,133074975
20,145,29270861,88,164898406,57,-135627545,300525951,135627545
21,199,5277998,110,220492676,89,-215214678,435707354,215214678
22,180,29644413,92,248122805,88,-218478392,466601197,218478392
23,157,-141313366,78,114589974,79,-255903340,370493314,255903340
24,166,-33357911,82,193519384,84,-226877295,420396679,226877295
25,220,18890841,98,297370807,122,-278479966,575850773,278479966
26,149,-37054325,73,175718958,76,-212773283,388492241,212773283
27,183,-98686464,100,208035279,83,-306721743,514757022,306721743
28,158,23811068,93,225915944,65,-202104876,428020820,202104876
29,173,65609599,104,231646940,69,-166037341,397684281,166037341
30,186,34984804,110,295695577,76,-260710773,556406350,260710773
31,129,-31858003,86,137115782,43,-168973785,306089567,168973785
32,164,101429094,104,268094508,60,-166665414,434759922,166665414
33,164,-19499325,79,169005018,85,-188504343,357509361,188504343
34,175,-51265687,93,139629620,82,-190895307,330524927,190895307
35,184,-35414894,104,195407287,80,-230822181,426229468,230822181
36,216,81633797,124,302564345,92,-220930548,523494893,220930548
37,149,15950818,73,225612671,76,-209661853,435274524,209661853
38,165,-27681669,83,200475709,82,-228157378,428633087,228157378
39,209,70551030,107,294618262,102,-224067232,518685494,224067232
40,174,-49536935,103,151982902,71,-201519837,353502739,201519837
41,153,107931491,102,277145533,51,-169214042,446359575,169214042
42,147,21334017,82,196285692,65,-174951675,371237367,174951675
43,165,-119375866,84,167574014,81,-286949880,454523894,286949880
44,123,36272768,65,181500398,58,-145227630,326728028,145227630
45,163,-120625581,71,174260759,92,-294886340,469147099,294886340
46,170,-31893130,108,215800322,62,-247693452,463493774,247693452
47,143,-62521009,77,138941173,66,-201462182,340403355,201462182
48,164,-7239998,109,206560224,55,-213800222,420360446,213800222
49,126,37986994,83,158968019,43,-120981025,279949044,120981025
50,154,15281488,86,186638446,68,-171356958,357995404,171356958
51,118,8276918,59,103642306,59,-95365388,199007694,95365388
52,133,44756895,81,196722933,52,-151966038,348688971,151966038
53,144,-43647249,82,179814615,62,-223461864,403276479,223461864
54,160,-80885376,81,125771563,79,-206656939,332428502,206656939
55,167,52811493,119,197089789,48,-144278296,341368085,144278296
56,137,-28147955,78,138312769,59,-166460724,304773493,166460724
57,127,38135261,56,152362626,71,-114227365,266589991,114227365
58,151,29882205,95,229635081,56,-199752876,429387957,199752876
59,155,43744276,91,214628067,64,-170883791,385511858,170883791
